price,title,net_m2,room_count,total_floor,floor,heating,property_type,brut_m2,age,due_monthly,in_site,balcony_count,living_room_m2
7.500TL,üni̇versi̇te tramvay durağinda ki̇ralik 1+1 eşyali dai̇re,50 M2,1+1,5,5.Kat,Kombi Doğalgaz,Eşyalı,55 M2,5-10,,Hayır,,
10.000TL,ki̇ralik 3+1 dai̇re,100 M2,3+1,5,1.Kat,Kombi Doğalgaz,Boş,115 M2,21 Ve Üzeri,,Hayır,,
6.000TL,as yapidan muhteşem konum si̇te i̇çi̇ lüks geni̇ş kullanişli 3+1,145 M2,3+1,8,2.Kat,Kombi Doğalgaz,Boş,155 M2,5-10,,Evet,,
6.500TL,çavuşunoğlun'dan karşiyaka mah'de ki̇ralik dai̇re 2+1 135m²,125 M2,2+1,4,Düz Giriş (Zemin),Kombi Doğalgaz,Boş,135 M2,16-20,,Hayır,,
20.000TL,çavuşunoğlun'dan karşiyaka mah'de ki̇ralik dai̇re 2+1 135m²,125 M2,2+1,4,Düz Giriş (Zemin),Kombi Doğalgaz,,135 M2,16-20,,Hayır,,
9.000TL,a.y.s. gayri̇menkul ' dan 3+1 ki̇ralik dai̇re,130 M2,3+1,4,2.Kat,Kombi Doğalgaz,,135 M2,16-20,,Hayır,,
25.000TL,kılıçdede 5+1 kiralık daire,180 M2,5+1,5,4.Kat,Kombi Doğalgaz,Boş,200 M2,21 Ve Üzeri,600 TL,Hayır,2,
21.000TL,a.y.s. gayri̇menkul ' dan 4+1 ki̇ralik dai̇re,150 M2,4+1,4,1.Kat,Kombi Doğalgaz,,155 M2,11-15,,Hayır,,
9.000TL,körfez'de ki̇ralik 2+1 full deni̇z manzarali dai̇re,75 M2,2+1,4,3.Kat,Kombi Doğalgaz,Boş,85 M2,0 (Yeni),100 TL,Hayır,2,
4.500TL,✅️gençbay emlak'tan selahi̇ye mah bulvara yakin 1+1 3.kat çi̇ft balkonlu masrafsiz ki̇ralik dai̇re,80 M2,1+1,3,3.Kat,Kombi Doğalgaz,Boş,95 M2,21 Ve Üzeri,,Hayır,2,
11.500TL,sahibinden vefa avm yakını 1. kat kiralık daire,150 M2,3+1,3,1.Kat,Sobalı,Boş,180 M2,21 Ve Üzeri,10 TL,Hayır,2,
